load,latency,throughput
27591,8.032151,100968.987445
23925,7.355528,103833.618810
12927,7.962057,104368.859418
38589,7.485446,104408.900661
9261,8.161536,104962.406012
1929,6.983232,107645.786256
16593,7.481808,107829.699217
20259,7.255995,108240.109930
34923,7.560500,108462.259685
5595,7.103301,108624.011598
31257,7.418070,108809.227997
