load,latency,throughput
27591,4.501441,18658.102837
5595,7.782754,18952.459764
34923,8.034112,18974.246319
12927,8.297448,19069.884123
9261,6.834462,19156.071763
38589,7.203482,19170.564478
31257,7.947155,19202.988336
1929,7.545851,19249.803839
16593,6.940938,19290.551845
20259,8.185568,19294.400824
23925,7.477757,19523.422425
